Year,Total_3PA,Avg_3P%,Decade
1980.0,5522.0,0.198,1980s
1981.0,4161.0,0.15306934306569345,1980s
1982.0,4655.0,0.17110616438356166,1980s
1983.0,4592.0,0.1380796178343949,1980s
1984.0,4599.0,0.1763899613899614,1980s
1985.0,6008.0,0.16301779359430604,1980s
1986.0,6677.0,0.17325252525252527,1980s
1987.0,9177.0,0.16903630363036304,1980s
1988.0,10735.0,0.18939882697947213,1980s
1989.0,14496.0,0.19882336182336183,1980s
1990.0,15361.0,0.21384533333333336,1990s
1991.0,16587.0,0.20838692098092643,1990s
1992.0,17433.0,0.21450670241286862,1990s
1993.0,20384.0,0.2156849315068493,1990s
1994.0,23031.0,0.23576063829787233,1990s
1995.0,35874.0,0.2711317829457364,1990s
1996.0,41535.0,0.2784966292134831,1990s
1997.0,44011.0,0.28396746203904555,1990s
1998.0,34026.0,0.2476599552572707,1990s
1999.0,20261.0,0.25416666666666665,1990s
2000.0,33792.0,0.26468101265822785,2000s
2001.0,34290.0,0.2597592592592593,2000s
2002.0,37517.0,0.2637975308641975,2000s
2003.0,37101.0,0.26540673575129536,2000s
2004.0,39708.0,0.26727252747252744,2000s
2005.0,43906.0,0.26944444444444443,2000s
2006.0,42898.0,0.2722239819004525,2000s
2007.0,44269.0,0.2741566265060241,2000s
2008.0,48484.0,0.26864718162839246,2000s
2009.0,50535.0,0.2925520833333334,2000s
2010.0,49184.0,0.2685567010309278,2010s
2011.0,52915.0,0.2822373540856031,2010s
2012.0,38277.0,0.2712898230088496,2010s
2013.0,52958.0,0.2822991631799163,2010s
2014.0,58438.0,0.2897359223300971,2010s
2015.0,63420.0,0.2864543859649123,2010s
2016.0,63889.0,0.2976475095785441,2010s
2017.0,73136.0,0.3011475409836066,2010s
