Player,Attribute,Value
Wilt Chamberlain*,2P,13744.0
Kareem Abdul-Jabbar*,2P,15836.0
Karl Malone*,2P,13443.0
Kevin Garnett,2P,10473.0
Tim Duncan,2P,10255.0
Hakeem Olajuwon*,2P,10724.0
Jason Kidd,2P,4569.0
Elvin Hayes*,2P,10971.0
Moses Malone*,2P,9816.0
Shaquille O'Neal*,2P,11660.0
Bill Russell*,2P,5687.0
John Stockton*,2P,6194.0
Robert Parish*,2P,9614.0
Walt Bellamy*,2P,9523.0
LeBron James,2P,8956.0
Eddie Johnson,2P,11946.0
Michael Jordan*,2P,11611.0
Charles Barkley*,2P,7897.0
Kobe Bryant,2P,9892.0
Patrick Ewing*,2P,9683.0
Wilt Chamberlain*,3P,0.0
Kareem Abdul-Jabbar*,3P,1.0
Karl Malone*,3P,85.0
Kevin Garnett,3P,175.0
Tim Duncan,3P,30.0
Hakeem Olajuwon*,3P,25.0
Jason Kidd,3P,2168.0
Elvin Hayes*,3P,5.0
Moses Malone*,3P,8.0
Shaquille O'Neal*,3P,1.0
Bill Russell*,3P,0.0
John Stockton*,3P,845.0
Robert Parish*,3P,0.0
Walt Bellamy*,3P,0.0
LeBron James,3P,1467.0
Eddie Johnson,3P,783.0
Michael Jordan*,3P,581.0
Charles Barkley*,3P,538.0
Kobe Bryant,3P,1827.0
Patrick Ewing*,3P,19.0
Wilt Chamberlain*,AST,4893.0
Kareem Abdul-Jabbar*,AST,5660.0
Karl Malone*,AST,5248.0
Kevin Garnett,AST,5522.0
Tim Duncan,AST,4225.0
Hakeem Olajuwon*,AST,3058.0
Jason Kidd,AST,13393.0
Elvin Hayes*,AST,2398.0
Moses Malone*,AST,1885.0
Shaquille O'Neal*,AST,3119.0
Bill Russell*,AST,4100.0
John Stockton*,AST,15806.0
Robert Parish*,AST,2180.0
Walt Bellamy*,AST,3098.0
LeBron James,AST,7461.0
Eddie Johnson,AST,6482.0
Michael Jordan*,AST,5633.0
Charles Barkley*,AST,4215.0
Kobe Bryant,AST,6306.0
Patrick Ewing*,AST,2215.0
Wilt Chamberlain*,TRB,25597.0
Kareem Abdul-Jabbar*,TRB,17440.0
Karl Malone*,TRB,14968.0
Kevin Garnett,TRB,14973.0
Tim Duncan,TRB,15091.0
Hakeem Olajuwon*,TRB,13748.0
Jason Kidd,TRB,9574.0
Elvin Hayes*,TRB,16279.0
Moses Malone*,TRB,17284.0
Shaquille O'Neal*,TRB,13653.0
Bill Russell*,TRB,21620.0
John Stockton*,TRB,4051.0
Robert Parish*,TRB,14715.0
Walt Bellamy*,TRB,17303.0
LeBron James,TRB,7707.0
Eddie Johnson,TRB,6884.0
Michael Jordan*,TRB,6672.0
Charles Barkley*,TRB,12546.0
Kobe Bryant,TRB,7047.0
Patrick Ewing*,TRB,11607.0
Wilt Chamberlain*,BLK,0.0
Kareem Abdul-Jabbar*,BLK,3189.0
Karl Malone*,BLK,1145.0
Kevin Garnett,BLK,2054.0
Tim Duncan,BLK,3020.0
Hakeem Olajuwon*,BLK,3830.0
Jason Kidd,BLK,496.0
Elvin Hayes*,BLK,1771.0
Moses Malone*,BLK,1914.0
Shaquille O'Neal*,BLK,2820.0
Bill Russell*,BLK,0.0
John Stockton*,BLK,315.0
Robert Parish*,BLK,2361.0
Walt Bellamy*,BLK,48.0
LeBron James,BLK,817.0
Eddie Johnson,BLK,282.0
Michael Jordan*,BLK,893.0
Charles Barkley*,BLK,888.0
Kobe Bryant,BLK,640.0
Patrick Ewing*,BLK,2894.0
Wilt Chamberlain*,STL,0.0
Kareem Abdul-Jabbar*,STL,1160.0
Karl Malone*,STL,2085.0
Kevin Garnett,STL,1905.0
Tim Duncan,STL,1025.0
Hakeem Olajuwon*,STL,2162.0
Jason Kidd,STL,2944.0
Elvin Hayes*,STL,864.0
Moses Malone*,STL,1156.0
Shaquille O'Neal*,STL,771.0
Bill Russell*,STL,0.0
John Stockton*,STL,3265.0
Robert Parish*,STL,1219.0
Walt Bellamy*,STL,52.0
LeBron James,STL,1749.0
Eddie Johnson,STL,1591.0
Michael Jordan*,STL,2514.0
Charles Barkley*,STL,1648.0
Kobe Bryant,STL,1944.0
Patrick Ewing*,STL,1136.0
